city,country_en,country_kr,iso3,themes,months,category_raw
Santiago,Chile,칠레,CHL,역사문화|예술|자연|액티비티|미식,Jan|Feb|Jun|Jul|Aug|Sep|Oct|Nov|Dec,"city culture, museums, food, wine regions (nearby), Andes mountains (nearby for skiing/hiking)"
Bogotá,Colombia,콜롬비아,COL,역사문화|예술|자연|미식,Jan|Feb|Mar|Jul|Aug|Dec,"culture, history (La Candelaria), museums (Gold Museum), food, street art, mountains (nearby)"
Sydney,Australia,호주,AUS,역사문화|자연|해변|미식|휴양,Jan|Feb|Mar|Apr|May|Sep|Oct|Nov|Dec,"landmarks (Opera House, Harbour Bridge), beaches, harbour, city culture, food, nightlife, nature (nearby)"
Melbourne,Australia,호주,AUS,역사문화|예술|액티비티|미식|쇼핑,Jan|Feb|Mar|Apr|May|Sep|Oct|Nov|Dec,"culture, food, coffee, sports, art, laneways, shopping, Great Ocean Road (nearby)"
Cairns,Australia,호주,AUS,자연|해변|액티비티,May|Jun|Jul|Aug|Sep|Oct,"gateway to Great Barrier Reef, rainforest (Daintree), diving, snorkeling, adventure, tropical nature"
Auckland,New Zealand,뉴질랜드,NZL,역사문화|자연|해변,Jan|Feb|Mar|Nov|Dec,"harbour, sailing, city culture, volcanoes, Maori culture, nature (nearby islands/forests)"
Queenstown,New Zealand,뉴질랜드,NZL,자연|액티비티|미식,Jan|Feb|Jun|Jul|Aug|Dec,"adventure sports (bungee, skiing, jet boating), mountains, lakes, scenery, hiking, wine"
Edinburgh,United Kingdom,영국,GBR,역사문화|예술|액티비티|휴양,May|Jun|Jul|Aug|Sep,"history, culture, castle, architecture, festivals (Aug), hiking, nightlife"
Manchester,United Kingdom,영국,GBR,역사문화|예술|휴양,May|Jun|Jul|Aug|Sep,"music, football, industrial history, nightlife, culture, museums"
Barcelona,Spain,스페인,ESP,역사문화|예술|해변|미식|휴양,Apr|May|Jun|Sep|Oct,"architecture (Gaudi), beach, nightlife, food (tapas), culture, art"
Seville,Spain,스페인,ESP,역사문화|예술|미식,Mar|Apr|May|Sep|Oct,"flamenco, history, culture, architecture (Moorish), food, festivals (Semana Santa, Feria)"
Florence,Italy,이탈리아,ITA,역사문화|예술|미식,Apr|May|Jun|Sep|Oct,"art (Renaissance), history, architecture, museums, food, wine, leather goods"
Venice,Italy,이탈리아,ITA,역사문화|예술|자연|휴양,Apr|May|Jun|Sep|Oct,"canals, romance, history, art, architecture, gondolas, unique cityscape"
Munich,Germany,독일,DEU,역사문화|예술|미식,May|Jun|Jul|Aug|Sep,"beer culture (Oktoberfest), history, museums, gateway to Alps, palaces, parks"
Hamburg,Germany,독일,DEU,역사문화|예술|자연|휴양,May|Jun|Jul|Aug|Sep,"port city, canals, nightlife, maritime history, music venues, architecture"
Nice,France,프랑스,FRA,예술|해변|미식,May|Jun|Jul|Aug|Sep,"beach, French Riviera, art, promenade, Old Town, food (Nicoise)"
Lyon,France,프랑스,FRA,역사문화|미식,Apr|May|Jun|Sep|Oct,"food (gastronomy), history (Roman), rivers, silk weaving, traboules, culture"
Krakow,Poland,폴란드,POL,역사문화|예술|휴양,May|Jun|Jul|Aug|Sep,"history, culture, medieval architecture, nightlife, budget-friendly, nearby Auschwitz/Salt Mines"
Budapest,Hungary,헝가리,HUN,역사문화|예술|휴양,Apr|May|Jun|Sep|Oct,"thermal baths, history, architecture (Parliament), Danube river, nightlife (ruin bars)"
Brussels,Belgium,벨기에,BEL,역사문화|예술|미식,Apr|May|Jun|Jul|Aug|Sep,"EU capital, history, architecture (Grand Place), chocolate, beer, comics"
Bruges,Belgium,벨기에,BEL,역사문화|예술|자연|미식,Apr|May|Jun|Sep|Oct,"medieval town, canals, history, chocolate, beer, charming architecture"
Zurich,Switzerland,스위스,CHE,예술|자연|쇼핑,Jun|Jul|Aug|Sep|Dec,"finance, lake, shopping, mountains (nearby), museums, chocolate"
Bergen,Norway,노르웨이,NOR,역사문화|자연|액티비티|미식,May|Jun|Jul|Aug,"fjords (gateway), history (Hanseatic wharf), nature, hiking, seafood"
Osaka,Japan,일본,JPN,역사문화|미식|쇼핑|휴양,Mar|Apr|May|Oct|Nov,"food (street food), nightlife, modern culture, castle, shopping (Dotonbori)"
Sapporo,Japan,일본,JPN,자연|액티비티|미식,Jan|Feb|Jun|Jul|Aug|Dec,"snow festival (Feb), skiing (nearby), beer, nature (Hokkaido), seafood"
Xi'an,China,중국,CHN,역사문화|미식,Mar|Apr|May|Sep|Oct,"history (Terracotta Army, ancient capital), culture, Silk Road history, city wall, food"
Chengdu,China,중국,CHN,역사문화|미식,Mar|Apr|May|Sep|Oct|Nov,"pandas (research base), food (Sichuan cuisine), culture, tea houses, history"
Busan,South Korea,,,역사문화|예술|해변|미식|쇼핑,Apr|May|Jun|Sep|Oct,"beach, port city, seafood markets, temples, culture, film festival"
Varanasi,India,인도,IND,역사문화,Jan|Feb|Mar|Oct|Nov|Dec,"spirituality, Ganges river, Hindu rituals, culture, temples, oldest living city"
Goa,India,인도,IND,역사문화|예술|자연|해변|휴양,Jan|Feb|Mar|Nov|Dec,"beaches, relaxation, parties, Portuguese history, nature, yoga"
Phuket,Thailand,태국,THA,해변|휴양,Jan|Feb|Mar|Nov|Dec,"beaches, islands (nearby), diving, snorkeling, nightlife, resorts"
Da Nang,Vietnam,베트남,VNM,자연|해변|미식,Feb|Mar|Apr|May|Jun|Jul|Aug,"beaches, Marble Mountains, modern bridges, gateway to Hoi An/Hue, food"
Kuala Lumpur,Malaysia,말레이시아,MYS,역사문화|예술|미식|쇼핑,Jan|Feb|Jun|Jul|Aug|Dec,"modern architecture (Petronas Towers), culture (Malay, Chinese, Indian), food, shopping, caves (Batu)"
Yogyakarta,Indonesia,인도네시아,IDN,역사문화|예술,May|Jun|Jul|Aug|Sep|Oct,"Javanese culture, history, temples (Borobudur, Prambanan nearby), art, batik"
Kathmandu,Nepal,네팔,NPL,역사문화|액티비티,Mar|Apr|May|Sep|Oct|Nov,"gateway to Himalayas, temples, culture, history, trekking base, spirituality"
Jerusalem,Israel,이스라엘,ISR,역사문화,Mar|Apr|May|Sep|Oct|Nov,"religion (Judaism, Christianity, Islam), history, archaeology, culture, Old City"
Boston,USA,미국,USA,역사문화|액티비티|미식,May|Jun|Sep|Oct,"history (American Revolution), academia (Harvard, MIT nearby), culture, seafood, sports, walking city"
Seattle,USA,미국,USA,역사문화|예술|자연|미식|쇼핑,Jun|Jul|Aug|Sep,"tech, coffee culture, music history (grunge), nature (mountains, water), markets (Pike Place)"
Washington D.C.,USA,미국,USA,역사문화|예술,Mar|Apr|May|Sep|Oct,"monuments, museums (Smithsonian), history, politics, government, memorials"
Las Vegas,USA,미국,USA,자연|휴양,Mar|Apr|May|Sep|Oct|Nov,"entertainment, nightlife, gambling, shows, resorts, dining, desert (nearby)"
Austin,USA,미국,USA,역사문화|예술|미식,Mar|Apr|May|Sep|Oct|Nov,"live music, food (BBQ, Tex-Mex), tech scene, culture, festivals (SXSW), outdoors"
Honolulu,USA,미국,USA,역사문화|자연|해변,Apr|May|Jun|Jul|Aug|Sep|Oct,"beaches (Waikiki), surfing, Polynesian culture, history (Pearl Harbor), nature"
Calgary,Canada,캐나다,CAN,역사문화,Jun|Jul|Aug,"gateway to Canadian Rockies (Banff nearby), Stampede (July), oil industry, city culture"
Quebec City,Canada,캐나다,CAN,역사문화,Jan|Feb|Jun|Jul|Aug|Sep|Oct,"history (UNESCO World Heritage site), French culture, charming Old Town, winter carnival"
Guadalajara,Mexico,멕시코,MEX,역사문화|예술|미식,Jan|Feb|Mar|Apr|May|Oct|Nov|Dec,"culture (mariachi, tequila), history, architecture, food, crafts"
Oaxaca,Mexico,멕시코,MEX,역사문화|미식,Jan|Feb|Mar|Apr|Oct|Nov,"culture (indigenous), food (mole), history (Monte Alban ruins), mezcal, crafts, festivals (Day of the Dead)"
Medellín,Colombia,콜롬비아,COL,역사문화|자연|휴양,Jan|Feb|Mar|Jul|Aug|Dec,"innovation, culture, nightlife, surrounding nature (mountains), cable cars, transformation story"
Cartagena,Colombia,콜롬비아,COL,역사문화|예술|해변|휴양,Jan|Feb|Mar|Apr|Dec,"colonial old town (walled city), Caribbean coast, history, islands (nearby), nightlife, colourful architecture"
Quito,Ecuador,에콰도르,ECU,역사문화,Jun|Jul|Aug|Sep,"colonial history (UNESCO World Heritage site), equator line (nearby), Andean scenery, gateway to Galapagos"
Mendoza,Argentina,아르헨티나,ARG,자연|액티비티|미식,Jan|Feb|Mar|Apr|Oct|Nov|Dec,"wine region (Malbec), Andes mountains, food, adventure (hiking, rafting)"
San Pedro de Atacama,Chile,칠레,CHL,자연|액티비티,Jan|Feb|Mar|Apr|Sep|Oct|Nov|Dec,"desert landscapes, stargazing, geysers, salt flats, adventure, unique geology"
Salvador,Brazil,브라질,BRA,역사문화|예술|해변,Jan|Feb|Aug|Sep|Oct|Dec,"Afro-Brazilian culture, history (first capital), music (samba-reggae), beaches, carnival, colonial architecture"
Perth,Australia,호주,AUS,자연|해변|미식,Jan|Feb|Mar|Apr|May|Sep|Oct|Nov|Dec,"beaches, sunshine, isolation, nature (Kings Park, Rottnest Island), wine region (Swan Valley)"
Brisbane,Australia,호주,AUS,역사문화|자연|해변,Apr|May|Jun|Jul|Aug|Sep|Oct,"river city, subtropical climate, culture, gateway to Gold Coast/Sunshine Coast, nature (nearby)"
Adelaide,Australia,호주,AUS,역사문화|해변|미식|휴양,Jan|Feb|Mar|Apr|Oct|Nov|Dec,"wine regions (Barossa, McLaren Vale nearby), festivals, food culture, relaxed city life, coastline"
Hobart,Australia,호주,AUS,역사문화|예술|자연|미식,Jan|Feb|Mar|Dec,"Tasmania, nature, history (Port Arthur nearby), art (MONA), food (seafood), harbour"
Wellington,New Zealand,뉴질랜드,NZL,역사문화|예술|미식,Jan|Feb|Mar|Nov|Dec,"capital city, culture (Te Papa museum), coffee, craft beer, harbour, windy city"
Christchurch,New Zealand,뉴질랜드,NZL,예술|자연|해변,Jan|Feb|Mar|Nov|Dec,"gateway to South Island, gardens, rebuild/innovation (post-earthquake), Avon River, Antarctic centre"
Galle,Sri Lanka,스리랑카,LKA,역사문화|예술|해변|쇼핑,Jan|Feb|Mar|Dec,"history, colonial architecture (Dutch Fort), beach, culture, shopping, cricket"
Kandy,Sri Lanka,스리랑카,LKA,역사문화|자연,Jan|Feb|Mar|Apr|Dec,"culture, religion (Temple of the Tooth), history, lake, botanical gardens, gateway to hill country"
Ella,Sri Lanka,스리랑카,LKA,자연|액티비티|휴양,Jan|Feb|Mar|Jul|Aug|Sep,"mountains, hiking, tea plantations, scenery, train journey, waterfalls, relaxation"
Habarana,Sri Lanka,스리랑카,LKA,자연|액티비티,Jan|Feb|Mar|Jul|Aug|Sep,"gateway to Sigiriya, gateway to Minneriya/Kaudulla parks (elephants), wildlife safaris, nature hub"
Mirissa,Sri Lanka,스리랑카,LKA,해변|휴양,Jan|Feb|Mar|Apr|Nov|Dec,"beach, whale watching, surfing, relaxation, nightlife (beach bars), fishing harbour"
